Comments,Date,Favorites,User,Polarity,Sentiment
"RT @TheTweetOfGod: I can now confirm the first reported case of coronavirus in heaven.

It is a 33-year-old Near Eastern male who touches b…",2020-03-08 01:22:39,0,ThePhillyShell,0.11666666666666665,positive
"RT @ParisPasRose: On rappelle à @ClaireOPetit qu'une quarantaine se compte en jours et non en mois, puisqu'elle a commencé la sienne dès ju…",2020-03-08 01:22:39,0,Thomas K.,0.0,neutral
"RT @HongKongFP: The coronavirus outbreak unites a divided China in fear, grief and anger at government https://t.co/CMvmmRpf5m #coronavirus…",2020-03-08 01:22:39,0,Lauhuang,-0.75,negative
@mz_annelise @BondageLand https://t.co/SDKJlt3nSZ,2020-03-08 01:22:39,0,Aaron Hansen,0.0,neutral
RT @girlsreallyrule: The CDC has contracted with a company for coronavirus test kits that Trump previously owned stock and he has shown NO…,2020-03-08 01:22:39,0,Michael McElmury,-0.16666666666666666,negative
"RT @CNNEE: Estos son los desinfectantes que puedes usar contra el coronavirus
https://t.co/0gaP56CzkT",2020-03-08 01:22:39,0,unaguiadeciudadmas,0.0,neutral
RT @kenchengcomedy: less than 0.001% of chinese people have coronavirus yet more than 99.999% have already experienced coronaracism,2020-03-08 01:22:39,0,Dkwong,0.2833333333333333,positive
"RT @CHlRPl: Omg wendy williams got the coronavirus
 https://t.co/eoxaGmEilq",2020-03-08 01:22:39,0,Daughter of Mrs. Petty,0.0,neutral
RT @samantha__riggs: coronavirus made flights so cheap y’all can finally afford to hang out with your internet boyfriend,2020-03-08 01:22:39,0,💫Starr💫,0.2,positive
"RT @jjeeiinnzzuu: ""It’s “plausible” that 20 to 60 percent of adults [around the world] will catch the disease"": https://t.co/iqzUg8wDef",2020-03-08 01:22:39,0,MACA,0.5,positive
RT @elonmusk: The coronavirus panic is dumb,2020-03-08 01:22:39,0,Cesar R. Hernandez,-0.375,negative
RT @ayoair: The media: “CORONAVIRUS PANDEMIC IS GETTING WORSE EVERYONE PLS WASH UR HANDS AND QUARANTINE URSELVES DON’T MOVE WE’RE GETTING C…,2020-03-08 01:22:39,0,Kimberly✨,-0.4,negative
RT @KHJ_Esq: Coronavirus got Boomers stocking their doomsday bunkers... meanwhile millennials are online shopping for bathing suits for the…,2020-03-08 01:22:39,0,Vinny 🌙,0.0,neutral
"RT @DrDenaGrayson: ⚠️#CPAC attendee—who was exposed to #coronavirus PRIOR to the conference—has tested positive.

@realDonaldTrump and #COV…",2020-03-08 01:22:39,0,Paul DerHagopian,0.11363636363636363,positive
RT @Seinfeld2000: gerge pretend he has coronavirus to get out of relationship,2020-03-08 01:22:39,0,BukyManuel,0.0,neutral
"RT @malgraviahhh: El Gafo, o sea Guaidó está desesperado porque nada de que llega el Coronavirus, el calculaba que para el martes 10 ya hub…",2020-03-08 01:22:39,0,CIENCIA Y POESIA,0.0,neutral
RT @samantha__riggs: coronavirus made flights so cheap y’all can finally afford to hang out with your internet boyfriend,2020-03-08 01:22:39,0,🤠,0.2,positive
"RT @SuperManuMolina: Bajan los precios de los hoteles.
Bajan los precios de los vuelos.
Se calcula que el 70% de la población mundial se co…",2020-03-08 01:22:39,0,Darth Tacán,0.0,neutral
@ACUConservative @CPAC @Paula_White-Cain spiritual adviser to @POTUS (Cain). Every time @realDonaldTrump (Cain) lie… https://t.co/aPWyNv9IU7,2020-03-08 01:22:39,0,יהוה,0.0,neutral
"RT @JAntiuribista: En serio, si compraron la elección presidencial ¿no los creen capaces de comprar el show mediático del Coronavirus para…",2020-03-08 01:22:39,0,DeturistaporMedellin@#,0.0,neutral
RT @itsSweetThing: Hotel in China holding coronavirus victims in quarantine collapses https://t.co/6qB6sVtEMs,2020-03-08 01:22:39,0,Mark McGowan,0.0,neutral
RT @BlondeHistorian: As a disabled person it hurts to see all the adjustments that we’ve been denied suddenly be made available because non…,2020-03-08 01:22:39,0,Karthik Subramanian,0.06666666666666667,positive
"RT @jaketapper: US Food and Drug Administration Commissioner Dr. Stephen Hahn: As of Friday at 6 p.m. ET, 5,861 tests for coronavirus have…",2020-03-08 01:22:38,0,Ikechukwu Okpokiri,0.0,neutral
RT @CTVNews: Argentina announces first coronavirus death in Latin America https://t.co/UYlY1JJEC1,2020-03-08 01:22:38,0,Dennis,0.25,positive
@billmaher declared the ONLY response to COVID-19 is a good immune system.  He's about par with Trump in the brain… https://t.co/nqZ6L7VZWj,2020-03-08 01:22:38,0,70% of Canadians vote for progressives ꧁ 2020 ꧂,0.35,positive
"RT @sparksjls: A week after 13 residents at a Washington State nursing home died, the facility still doesn’t have enough kits to test all t…",2020-03-08 01:22:38,0,_ josie dixon,0.0,neutral
"RT @elentirvigo: El lío que montaron el PSOE, Podemos e IU en 2014 ante un solo contagio de ébola en España.
Entonces culparon al Gobierno…",2020-03-08 01:22:38,0,LaResistenciaEspañola,0.0,neutral
"RT @PBPcalcio: Parla Giuseppe #Conte: “per #Lombardia e altre provincie, vincolo in entrata e uscita, anche all’interno dei territori. Cons…",2020-03-08 01:22:38,0,Simone Joe Formaggio da Codogno,0.0,neutral
"RT @EspritCritik9: #Twitter censure-t'il les messages de ses utilisateurs ?

Je viens de faire le test avec une news de #BFM sur le déplace…",2020-03-08 01:22:38,0,Arghh!,0.0,neutral
RT @CarlosLoret: Italia se prepara para aislar a 16 millones de personas por #coronavirus.,2020-03-08 01:22:38,0,Edgar Mendoza Hdez,0.0,neutral
RT @20Minutes: L'Italie va placer Milan et Venise en quarantaine https://t.co/6dimA357o1,2020-03-08 01:22:38,0,Jojo le Yonku🏴‍☠️,0.0,neutral
RT @NicolaSturgeon: There’s a massive responsibility on all leaders at a time like this (I know I feel it acutely) to listen to the science…,2020-03-08 01:22:38,0,@picNmix🏴󠁧󠁢󠁳󠁣󠁴󠁿🌈🎗,0.3,positive
RT @elonmusk: The coronavirus panic is dumb,2020-03-08 01:22:38,0,LeoGA,-0.375,negative
RT @IWF: Some of China’s state-run propaganda outlets are claiming #COVID19 originated in the U.S. — with others going so far as to claim t…,2020-03-08 01:22:38,0,Tracy 🖐🏻😷☝🏻,0.0,neutral
@wojespn You can't stop coronavirus.  You can only hope to contain it.,2020-03-08 01:22:38,0,Snackie,0.0,neutral
Ya sígueme por fa :( antes de que muera por Coronavirus.,2020-03-08 01:22:38,0,Gustavo,-0.75,negative
RT @marceloservinr: la hoja de mamón enterándose de la llegada del Coronavirus,2020-03-08 01:22:38,0,Ara Gonzalez,0.0,neutral
"RT @ganblade: จีนผลิตวัคซีน COVID-19 สำเร็จแล้ว ผลการทดสอบปลอดภัยต่อทั้ง สัตว์ทดลองและมนุษย์ จะเริ่มนำมาใช้จริง เดือนหน้า

Source : https:/…",2020-03-08 01:22:38,0,😊😊😊,0.0,neutral
"RT @ElGolGarracol: Ñejo hablándonos del Coronavirus, sabe más que la OMS. https://t.co/W8XQlf7dqk",2020-03-08 01:22:38,0,Gabriela🍃,0.0,neutral
#ÚltimaHora Reporte Actualizado del Coronavirus en México #EnVivo Sábado... https://t.co/XZyd7sL73j via @YouTube,2020-03-08 01:22:38,0,Nene,0.0,neutral
"RT @JacquelyneHowa7: The Coronavirus is spreading there's 400 people infected, 19 dead and Trump's play golf and costing taxpayers $3.M +.…",2020-03-08 01:22:38,0,Diesal1982,-0.2,negative
"RT @funder: BREAKING: Trump was at his golf course for almost 6 hours today. Because he doesn’t care about the coronavirus outbreak, or the…",2020-03-08 01:22:38,0,JC Lynch,0.0,neutral
"RT @tirghrathoir: #CoronaVirus
It's the tenacious, copious thick sticky mucous adhering to the sponge-like lungs which is killing people.…",2020-03-08 01:22:38,0,Something not ridiculous...⚡️🖤,-0.30000000000000004,negative
RT @snollygoster123: thread of underrated essential oils to cure your kid’s coronavirus https://t.co/xjV1PvPWkM,2020-03-08 01:22:38,0,luigie,0.0,neutral
"#DatoDeInteres: Tres crisis que han tenido daños económicos globales en los últimos 20 años:
2001: Torres Gemelas
2… https://t.co/HSpTw5Ugan",2020-03-08 01:22:38,0,Lester Ramírez Irías,0.0,neutral
"I'm REALLY, REALLY hoping Mulvaney was the mysterious ""victim"" here... 

It would be total and complete payback for… https://t.co/I9BT5eEbXm",2020-03-08 01:22:38,0,Jann Gobble,0.045,positive
"RT @soo__mar: ¿quién hizo la cumbia del coronavirus? por dios jajsjaja
https://t.co/9AKdN35GSm",2020-03-08 01:22:38,0,KAREM RECALDE,0.0,neutral
"RT @JeffreyRitchey: Karma's a mighty bitch. I love her.

""Coronavirus patient attended the same conservative conference as Trump and other…",2020-03-08 01:22:38,0,redstateblues,0.3,positive
RT @MeDicenWally: Menos mal a mi doctor Uribe no le va a dar Coronavirus porque él es experto en lavarse las manos. 🙏🏻,2020-03-08 01:22:38,0,David Dueñas,0.0,neutral
"RT @dsantoro59: Coronavirus en Argentina: para Adolfo Rubinstein, el Gobierno ""subestimó el impacto en el país"" - https://t.co/FDJ1TgEcQq",2020-03-08 01:22:38,0,Lauro,0.0,neutral
RT @eugenegu: There should be no reason for #toiletpaper to be in such short supply from panic buying. If the coronavirus gets so bad it be…,2020-03-08 01:22:38,0,Yohan Tremblay,-0.23333333333333328,negative
"RT @PaisaTweets_: Italy, Iran, China: Schools across the country closed for Coronavirus.

Mexico: 🇲🇽 https://t.co/IsxH04aGiA",2020-03-08 01:22:38,0,Alvaro Uchiha,-0.1,negative
#7Mar #Coronavirus #COVIDー19 La vitamina D3 es necesaria para diversos procesos fisiológicos del ser humano. Se pue… https://t.co/R5ZrDvl9Wi,2020-03-08 01:22:38,0,Dra Florangel Vera,0.0,neutral
"RT @leandroruschel: O coronavirus chinês é uma pandemia que cresce a uma taxa de 20% ao dia. Ou seja, o número de infectados dobra a cada 4…",2020-03-08 01:22:38,0,HELQUER CAMILO,0.05,positive
RT @KHJ_Esq: Coronavirus got Boomers stocking their doomsday bunkers... meanwhile millennials are online shopping for bathing suits for the…,2020-03-08 01:22:38,0,🌻lmjackson🌻,0.0,neutral
"RT @MSNBC: ""If you and I start coughing, feeling sick, we'll call in ... We're employed, we're insured, we can go to a doctor. How many Ame…",2020-03-08 01:22:38,0,Susana Huerta,-0.10714285714285715,negative
RT @KHJ_Esq: Coronavirus got Boomers stocking their doomsday bunkers... meanwhile millennials are online shopping for bathing suits for the…,2020-03-08 01:22:38,0,G.I.A 🇲🇽,0.0,neutral
"RT @VaeVictis: QUINDI:

1) CHIUDERE i mercati finanziari fino a stabilizzazione avvenuta;

2) uscire ORA da EZ e UE;

3) Banca d’Italia IMM…",2020-03-08 01:22:38,0,Andrea Testa,0.0,neutral
"Given #coronavirus, I’m subg digital cards 4 paper 4 ⁦@SCBWI_SoBreeze⁩ ‘s WIK conference. Looking 4 a version with… https://t.co/GrcnUiT98f",2020-03-08 01:22:38,0,"TK Read writes as Kam Karem, a NIEA & IAN Finalist",0.0,neutral
"RT @AlArabiya_Eng: Two more people die due to #coronavirus in #Washington state, bringing the #US death toll to 19. Meanwhile, the number o…",2020-03-08 01:22:38,0,Unofficial_Events,0.1875,positive
"China is very good about controlling their image. They are exactly what Summer called them, nasty and trifling. The… https://t.co/PstcIzSHvx",2020-03-08 01:22:38,0,I'm Not Telling You,0.05333333333333331,positive
"RT @WHO: As of today’s reports, global number of #COVID19 confirmed cases has surpassed 100K.
WHO reminds all countries &amp; communities that…",2020-03-08 01:22:38,0,Paul C,0.2,positive
RT @vmwarecode: New Code Sample: Dashboard to monitor Coronavirus Outbreak using Weblink capability https://t.co/eC19zyAG06,2020-03-08 01:22:38,0,Ronny Schouten,0.13636363636363635,positive
"RT @numer344: Si en vez de llamarse coronavirus, se llamase ebola, y en vez de llamarse Pedro Sánchez, se llamase Mariano Rajoy, este país…",2020-03-08 01:22:38,0,2019ocp,0.0,neutral
"So my thoughts on the coronavirus situation in the NBA is you can’t just have no fans go to the games

1. Not only… https://t.co/RbF4pQiQHC",2020-03-08 01:22:38,0,🐺 (19-43),0.0,neutral
"RT @paulkrugman: There are now good reasons to believe that the coronavirus will hit America especially hard, even though it originated in…",2020-03-08 01:22:38,0,BobTN,0.05833333333333329,positive
RT @toddstarnes: There are 19 million people in New York. Only 76 have #coronavirus. #calmdown,2020-03-08 01:22:38,0,Barbara Gaeth,0.06818181818181818,positive
"RT @Chu_OnlineNews: เมื่อคืนนี้เวลา 01.15-02.30น. (8มีค.) คนไทยกลับจากเกาหลีใต้ 59 คน (ชาย27,หญิง32คน) ถูกส่งเข้ามากักตัวเพื่อเฝ้าดูอาการ C…",2020-03-08 01:22:38,0,°สวะเรียกฉันว่าสลิ่ม°,0.0,neutral
RT @ayoair: The media: “CORONAVIRUS PANDEMIC IS GETTING WORSE EVERYONE PLS WASH UR HANDS AND QUARANTINE URSELVES DON’T MOVE WE’RE GETTING C…,2020-03-08 01:22:38,0,gav⁷ // prod.SUGA,-0.4,negative
"RT @BGrueskin: Arkansas can test 4-5 people a day for #COVID19 
New York: 100-200 a day
Pennsylvania: A dozen a day
Texas: 30 a day
Oregon:…",2020-03-08 01:22:38,0,A Johnson,0.13636363636363635,positive
"RT @ginesggarcia: Saber para prevenir. Compartimos información sobre el nuevo coronavirus (COVID-19). 

+ info en: https://t.co/07pKrhBEZc…",2020-03-08 01:22:38,0,Andrea,0.0,neutral
RT @AP: A person in New Jersey who has tested positive for coronavirus had attended the recent Conservative Political Action Conference out…,2020-03-08 01:22:37,0,Rod,0.09272727272727273,positive
RT @SergioNovelli: Llegó el Coronavirus a Paraguay. Se confirma un paciente contagiado en ese país. Ya son 10 países latinoamericanos. Se s…,2020-03-08 01:22:37,0,Rosaura Arelys,0.0,neutral
RT @brianschatz: Trump’s Coronavirus Press Event Was Even Worse Than It Looked | WIRED https://t.co/p4d8DnmbhU,2020-03-08 01:22:37,0,Deborah Lee,-0.4,negative
RT @kylegriffin1: Matt Gaetz made light of coronavirus by wearing a gas mask. Now one of his constituents has died. https://t.co/K95EJn96GK,2020-03-08 01:22:37,0,Herb Lewis,0.4,positive
RT @ColbyItkowitz: CPAC chairman Matt Schlapp tells me he interacted with attendee who has tested positive for coronavirus. While the timel…,2020-03-08 01:22:37,0,Crystal Warren,0.22727272727272727,positive
"RT @wildwestleft: distraction won't work

WHY DIDN'T REPUBLICANS GET THE TESTS KITS W.H.O OFFERED?

https://t.co/CzCvbvSDM4 https://t.co/8b…",2020-03-08 01:22:37,0,Vinnie Longobardo,0.0,neutral
RT @pvidal_: Com han d'actuar empreses i treballadors davant del coronavirus? https://t.co/cIv9g0OtCs,2020-03-08 01:22:37,0,Pere Vidal,0.0,neutral
RT @KHJ_Esq: Coronavirus got Boomers stocking their doomsday bunkers... meanwhile millennials are online shopping for bathing suits for the…,2020-03-08 01:22:37,0,Tori 🌟,0.0,neutral
"Ok Coronavirus, this has gone WAY TOO FAR now! 🤬

https://t.co/5ggQp3B7cM",2020-03-08 01:22:37,0,🍁Fletchy McFletchyface☘,0.3125,positive
RT @NYCEMSwatch: FDNY issues order pulling back firefighters from calls describing coronavirus symptoms; says it is prioritizing responses…,2020-03-08 01:22:37,0,Jason W,0.0,neutral
"RT @DuglasPalmar2: Que llega primero a Venezuela. .           1.-Coronavirus
2.-Elecciones 
3.-Comando Sur 

Los leo",2020-03-08 01:22:37,0,Jesús Armando,0.0,neutral
"RT @DaniNovarama: Hace días que estoy preocupado por el coronavirus. Y no, no es broma. Ni es una historia con sorpresa final. Estoy preocu…",2020-03-08 01:22:37,0,Nicolás Bolivariano,0.0,neutral
"RT @infopresidencia: El Presidente @IvanDuque evaluó este sábado en el Puesto de Mando Unificado (PMU), la forma como se viene implementand…",2020-03-08 01:22:37,0,Miryam Gil De la Oss,0.0,neutral
LeBron James on NBA staging games without fans due to coronavirus fears: I ain't playing - National Basketball Asso… https://t.co/PwxHDYw8lA,2020-03-08 01:22:37,0,Los Angeles Sports News,-0.125,negative
"#Coronavirus, @RobertoBurioni: ""Bozza decreto e gente che scappa, follia pura"" https://t.co/3vLnJt3qsI… https://t.co/ZNZUuFxoxb",2020-03-08 01:22:37,0,Daniele Di Stefano,0.0,neutral
RT @lanacionweb: Jefe de epidemiología de Corposalud Tachira desmiente caso sospechoso de #Coronavirus en el Hospital Central de San Cristó…,2020-03-08 01:22:37,0,Victor Manuel,0.0,neutral
RT @NicoNicoocabj: no busquen mas ya tenemos el mejor meme del coronavirus,2020-03-08 01:22:37,0,Princess Consuela✨,0.0,neutral
"RT @BTCTN: Stimulus, QE, Rate Cuts: Coronavirus Fuels Central Banks’ Monetary Easing Policy https://t.co/WsgYXwYWq9 https://t.co/5fkWxsSdY1",2020-03-08 01:22:37,0,밤토끼,0.0,neutral
"RT @BNODesk: NEW: San Francisco reports 6 new cases of coronavirus, raising city's total to 8 https://t.co/eUoE2b20hL",2020-03-08 01:22:37,0,"Connie Clark, Broker",0.0909090909090909,positive
RT @elonmusk: The coronavirus panic is dumb,2020-03-08 01:22:37,0,Mariah,-0.375,negative
RT @freakin_dani: idk what I’m scared of more...the coronavirus or catching feelings,2020-03-08 01:22:37,0,Monse🍉,0.6,positive
RT @samantha__riggs: coronavirus made flights so cheap y’all can finally afford to hang out with your internet boyfriend,2020-03-08 01:22:37,0,Nana,0.2,positive
RT @CBSNewYork: #CORONAVIRUS UPDATE: The total of confirmed cases in New York State is now up to 89. New cases in New York City that were c…,2020-03-08 01:22:37,0,Mary Alice Bishop,0.1618181818181818,positive
RT @JuanCarlosAnich: Así ejecutan en China a sus habitantes por el CORONAVIRUS... https://t.co/4qus95shpq,2020-03-08 01:22:37,0,Marcapiedras,0.0,neutral
"RT @BBCLBicker: A pregnant woman in Busan, South Korea has been confirmed with #coronavirus , the first case of its kind. KCDC said experts…",2020-03-08 01:22:37,0,Renee,0.39583333333333337,positive
RT @jaketapper: Fact check: White House falsely claims the coronavirus has been 'contained' in the US - CNNPolitics https://t.co/7cmMHhjlOY,2020-03-08 01:22:37,0,Catherine F Precourt,-0.20000000000000004,negative
"RT @PhilipRucker: CPAC, which today confirmed an attendee was infected with coronavirus, is where then-acting White House chief of staff Mi…",2020-03-08 01:22:37,0,Amy Arnold,0.2,positive
"RT @filippeirrazbal: Coronavirus até agora:

101,781 casos

55,866 curados

3,460 mortes

96.5% dos infectados não morreram

Gripe comum ma…",2020-03-08 01:22:37,0,Rosa Eleni,0.0,neutral
"RT @funder: BREAKING: Trump was at his golf course for almost 6 hours today. Because he doesn’t care about the coronavirus outbreak, or the…",2020-03-08 01:22:37,0,🐘🦏🐾 🌎 🌊🇺🇸 🍀☘️,0.0,neutral
"RT @B52Malmet: Last night, my kid, a charge nurse in a prominent hospital in California, sent me a photo as she was about to enter a negati…",2020-03-08 01:22:37,0,Coleen Vannoy,0.25,positive
RT @KHJ_Esq: Coronavirus got Boomers stocking their doomsday bunkers... meanwhile millennials are online shopping for bathing suits for the…,2020-03-08 01:22:37,0,Anthony B.,0.0,neutral
"RT @Protect_Wldlife: #Dogs and #Cats can't pass on #coronavirus, but can test positive.

SO STOP KILLING THEM #CHINA 🤬🤬!!!

#DogsofTwitter…",2020-03-08 01:22:37,0,rita payne,0.4438920454545454,positive
"RT @guarda_la_moto: En España murió una mujer por el coronavirus, 99 años tenía. Bueno señora, no se puede quejar, yo no sé si tiro 5 años…",2020-03-08 01:22:37,0,🌩️,0.0,neutral
"RT @SureshShripat: @GudduNAMOagain1 @SanjayP40333382 यह समझ के कारण नही सुस्त पङा, बल्कि #coronavirus  के डर से शोहरों ने भेजना बंद कर दिया…",2020-03-08 01:22:37,0,🇮🇳Sanjay Panwar🇮🇳,0.0,neutral
"RT @JulieOwenMoylan: Wow this will be a lock down. Huge operation. 

Coronavirus: Italy to 'quarantine 10 million people' in Lombardy - BBC…",2020-03-08 01:22:37,0,Luciana Chriz,0.11481481481481483,positive
"RT @AnnaMer_: This is how Canada is currently screening for #Coronavirus 

 https://t.co/1ulZQpGXWq",2020-03-08 01:22:37,0,Mo Elamry,0.0,neutral
"RT @DavedaGruber: 🔴High-Ranking Iranian Official Dies from Coronavirus 

🔴Why is the U.S. being blamed❓
 
🔴This is my article, please read/…",2020-03-08 01:22:37,0,Teresa,0.0,neutral
"Complete USSA 
#amwriting #scifi #amreading #sciencefiction #comics #gamedev #indiedev #indie #Ai #art #jacsimfever… https://t.co/J0vok7LwOk",2020-03-08 01:22:37,0,Steve Games,0.05,positive
"RT @BetteMidler: As #GraydonCarter points out his @AirMailWeekly #TRUMP was born right near Corona, Queens, NY. I guess you could call him…",2020-03-08 01:22:37,0,Danielle \m/,0.19285714285714284,positive
"RT @mitwosz: no dia q JUSTIN BIEBER tiver q reduzir show por falta de ""demanda"" eu quero q alguém me mate, os shows foram reduzidos por cau…",2020-03-08 01:22:37,0,𝐉𝐮𝐥𝐢𝐞,0.0,neutral
"RT @funder: BREAKING: Trump was at his golf course for almost 6 hours today. Because he doesn’t care about the coronavirus outbreak, or the…",2020-03-08 01:22:37,0,DesertStylite-Seeking Refuge in the Deserts,0.0,neutral
RT @RealEricCarmen: What's happening with the coronavirus is a complete vindication of @realDonaldTrump's policies. We need to bring manufa…,2020-03-08 01:22:37,0,Anthony Mulquiney. ⭐️⭐️⭐️,0.1,positive
RT @eugenegu: There should be no reason for #toiletpaper to be in such short supply from panic buying. If the coronavirus gets so bad it be…,2020-03-08 01:22:37,0,Susan L,-0.23333333333333328,negative
RT @auronplay: el coronavirus ha llegado a la India https://t.co/9oeYwBl9Ma,2020-03-08 01:22:37,0,ri,0.0,neutral
RT @AP: Iran's state-run IRNA news agency reports that a newly elected lawmaker from Tehran has died after contracting the coronavirus. htt…,2020-03-08 01:22:37,0,Hillary warned ya!But her xyz emails and speeches.,0.13636363636363635,positive
RT @whatchidid: Anti-Asian discrimination due to coronavirus-related fear is so horrid and it’s happening globally. Part of fighting this p…,2020-03-08 01:22:37,0,emma,-0.0625,negative
"Vivimos en un tiempo en el que la gente en vez de desearse cancer en soloQ, se desea coronavirus.

Modas.",2020-03-08 01:22:37,0,Motroco,0.0,neutral
"RT @Mippcivzla: 📌 𝙄𝙣𝙛𝙤́𝙧𝙢𝙖𝙩𝙚 🧬

En Venezuela se está fortaleciendo el sistema de vigilancia epidemiológica, y se han ampliado en las última…",2020-03-08 01:22:37,0,glendys,0.0,neutral
RT @reinadelclasico: Paciente sospechoso d Coronavirus en el Hospital Universitario d Maracaibo es un extranjero preso por trafico de droga…,2020-03-08 01:22:37,0,carlos alberto gomes,0.0,neutral
RT @KatiePhang: I rarely use profanity on Twitter but an asshole like ⁦@mattgaetz⁩ deserves all of it and then some.  https://t.co/NM2LJUoh…,2020-03-08 01:22:37,0,Protect our Democracy,0.3,positive
"RT @WTOP: CORONAVIRUS UPDATE: A U.S. Marine at Fort Belvoir, Virginia has tested positive for COVID-19, becoming the state's first case of…",2020-03-08 01:22:37,0,aleyda zambrana,0.3090909090909091,positive
RT @kumailn: I know the coronavirus isn’t that scary for a lot of ppl. Many of you are young &amp; healthy &amp; will be able to defeat it without…,2020-03-08 01:22:37,0,Olivia 🇻🇳🇭🇰😷,0.22000000000000003,positive
RT @cruadin: We Can Thank Trump for the United States Having Such a Low Per-Capita Infection Rate of Coronavirus https://t.co/Hs57yd6Kw2,2020-03-08 01:22:37,0,Marlboroman_Mat™,0.0,neutral
Bonne nuit aux angoisses comme moi #Angoisse #Anxiété #Stress #COVIDー19 #Coronavirus  https://t.co/8fqMh3vqR8,2020-03-08 01:22:36,0,Myriam,0.0,neutral
How Many Americans Have Been Tested for Coronavirus? - The Atlantic https://t.co/bAfC4BKxJI,2020-03-08 01:22:36,0,Teresa Sparkles ❄️ 🌊🍑🌈🌴,0.5,positive
"RT @funder: BREAKING: Trump was at his golf course for almost 6 hours today. Because he doesn’t care about the coronavirus outbreak, or the…",2020-03-08 01:22:36,0,Renee Carter,0.0,neutral
"RT @DaniNovarama: Hace días que estoy preocupado por el coronavirus. Y no, no es broma. Ni es una historia con sorpresa final. Estoy preocu…",2020-03-08 01:22:36,0,hans behr martínez,0.0,neutral
RT @BruceBartlett: Here's an idea--the anti-coronavirus cruise. Everyone is carefully tested before boarding and you stay at sea until the…,2020-03-08 01:22:36,0,Al G Rhythm,-0.1,negative
RT @KHOU: The president of Houston's Emergency Nurses Association said the mask shortage is putting healthcare workers at risk when helping…,2020-03-08 01:22:36,0,2futures2soulmates,0.0,neutral
RT @noname_8: Photos show why hand sanitizer doesn't work as well as soap and water to remove germs https://t.co/vWfq20cmvX #businessinside…,2020-03-08 01:22:36,0,`⸝ q,0.0,neutral
RT @BBCWorld: Coronavirus: The fake health advice you should ignore https://t.co/9ZPZVarcgm,2020-03-08 01:22:36,0,Joseph Kedzierski,-0.5,negative
"RT @RepJeffries: Americans are dying from the #Coronavirus.

The stock market is in free fall.

Tornadoes have ravaged parts of the Southea…",2020-03-08 01:22:36,0,cathy inouye,0.4,positive
"RT @WillyTolerdoo: Llega a pasar lo del coronavirus con Rajoy y tendríamos a todas las mareas con antorchas exigiendo su dimisión. 

Pasa c…",2020-03-08 01:22:36,0,Bbdalmeto,0.0,neutral
"RT @Winston_Dunhill: Y nunca te olvides, si tenés 8 enfermos de coronavirus y se te muere gente de coronavirus que no está entre esos 8 enf…",2020-03-08 01:22:36,0,Julieta,0.0,neutral
"RT @HaddadDebochado: A mulher que foi diagnosticada com coronavírus no Distrito Federal foi internada em um hospital particular, mas logo d…",2020-03-08 01:22:36,0,Taise,0.16666666666666666,positive
